               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.018325,            0.020947,          0.00069507,             0.93974,             0.91824,             0.96075,             0.77782,            0.018848,            0.014575,          0.00093927,            0.005611,            0.005611,            0.005611
                 135,            0.018295,             0.02105,          0.00064569,              0.9397,             0.92033,             0.96033,             0.77757,            0.018853,            0.014602,          0.00095057,            0.005578,            0.005578,            0.005578
                 136,            0.018316,            0.020415,          0.00071236,             0.94134,             0.91776,             0.96119,             0.77755,            0.018837,            0.014515,          0.00094142,            0.005545,            0.005545,            0.005545
                 137,            0.018092,            0.020579,          0.00069024,             0.94248,              0.9163,             0.96056,             0.77699,             0.01881,            0.014545,          0.00093018,            0.005512,            0.005512,            0.005512
                 138,            0.018149,            0.020667,          0.00069894,             0.94048,             0.91655,             0.96061,             0.77836,            0.018781,            0.014614,          0.00093353,            0.005479,            0.005479,            0.005479
                 139,            0.018164,            0.020306,           0.0006784,             0.93694,               0.919,             0.96057,             0.77868,            0.018708,            0.014614,          0.00094374,            0.005446,            0.005446,            0.005446
                 140,            0.018061,            0.020421,          0.00067922,             0.93716,             0.91857,             0.96096,             0.77894,            0.018753,            0.014573,          0.00095816,            0.005413,            0.005413,            0.005413
                 141,            0.018166,            0.020175,            0.000639,             0.93535,              0.9187,             0.96092,             0.77956,            0.018758,            0.014566,          0.00099917,             0.00538,             0.00538,             0.00538
                 142,              0.0181,            0.020307,          0.00067892,             0.93981,             0.91313,             0.96059,             0.78023,            0.018741,            0.014623,            0.001009,            0.005347,            0.005347,            0.005347
                 143,            0.018007,            0.019994,          0.00070163,              0.9319,             0.92127,              0.9603,             0.77993,            0.018757,            0.014704,           0.0010474,            0.005314,            0.005314,            0.005314
                 144,            0.017909,            0.020221,          0.00073892,             0.93402,             0.92145,             0.96048,             0.78041,            0.018787,            0.014653,           0.0010481,            0.005281,            0.005281,            0.005281
